architecture,freq_Hz,vrail_V,i_rx_dc_A,delta_i_tx_A,supply_impedance_ohm,tx_droop_V,rx_rail_disturb_V,rx_effective_disturb_V,rx_equiv_noise_V
shared_buck,1000.0,1.8,0.04,0.16,7.234707655400188,1.1575532248640301,1.1575532248640301,1.1575532248640301,0.0926042579891224
shared_buck,3000.0,1.8,0.04,0.16,2.412614461980506,0.38601831391688096,0.38601831391688096,0.38601831391688096,0.03088146511335048
shared_buck,10000.0,1.8,0.04,0.16,0.7273418736932908,0.11637469979092653,0.11637469979092653,0.11637469979092653,0.009309975983274123
shared_buck,30000.0,1.8,0.04,0.16,0.25263681273922295,0.04042189003827567,0.04042189003827567,0.04042189003827567,0.0032337512030620537
shared_buck,100000.0,1.8,0.04,0.16,0.10455393666871055,0.016728629866993687,0.016728629866993687,0.016728629866993687,0.001338290389359495
shared_buck,300000.0,1.8,0.04,0.16,0.08050854946738818,0.012881367914782109,0.012881367914782109,0.012881367914782109,0.0010305094331825688
shared_buck,1000000.0,1.8,0.04,0.16,0.09083876552185996,0.014534202483497594,0.014534202483497594,0.014534202483497594,0.0011627361986798076
shared_buck,3000000.0,1.8,0.04,0.16,0.16857672095704465,0.026972275353127146,0.026972275353127146,0.026972275353127146,0.0021577820282501717
shared_buck,10000000.0,1.8,0.04,0.16,0.5082667835830276,0.08132268537328441,0.08132268537328441,0.08132268537328441,0.006505814829862753
split_filtered,1000.0,1.8,0.04,0.16,7.234707655400188,1.1575532248640301,0.4051436287024105,0.4051436287024105,0.03241149029619284
split_filtered,3000.0,1.8,0.04,0.16,2.412614461980506,0.38601831391688096,0.13510640987090833,0.13510640987090833,0.010808512789672667
split_filtered,10000.0,1.8,0.04,0.16,0.7273418736932908,0.11637469979092653,0.04073114492682428,0.04073114492682428,0.0032584915941459426
split_filtered,30000.0,1.8,0.04,0.16,0.25263681273922295,0.04042189003827567,0.014147661513396484,0.014147661513396484,0.0011318129210717187
split_filtered,100000.0,1.8,0.04,0.16,0.10455393666871055,0.016728629866993687,0.0058550204534477904,0.0058550204534477904,0.0004684016362758232
split_filtered,300000.0,1.8,0.04,0.16,0.08050854946738818,0.012881367914782109,0.004508478770173738,0.004508478770173738,0.000360678301613899
split_filtered,1000000.0,1.8,0.04,0.16,0.09083876552185996,0.014534202483497594,0.005086970869224158,0.005086970869224158,0.00040695766953793264
split_filtered,3000000.0,1.8,0.04,0.16,0.16857672095704465,0.026972275353127146,0.0094402963735945,0.0094402963735945,0.00075522370988756
split_filtered,10000000.0,1.8,0.04,0.16,0.5082667835830276,0.08132268537328441,0.028462939880649542,0.028462939880649542,0.0022770351904519634
rx_ldo,1000.0,1.8,0.04,0.16,7.234707655400188,1.1575532248640301,0.28938830621600753,0.028938830621600756,0.0023151064497280607
rx_ldo,3000.0,1.8,0.04,0.16,2.412614461980506,0.38601831391688096,0.09650457847922024,0.009650457847922025,0.000772036627833762
rx_ldo,10000.0,1.8,0.04,0.16,0.7273418736932908,0.11637469979092653,0.029093674947731633,0.0029093674947731634,0.00023274939958185307
rx_ldo,30000.0,1.8,0.04,0.16,0.25263681273922295,0.04042189003827567,0.010105472509568917,0.0010105472509568919,8.084378007655135e-05
rx_ldo,100000.0,1.8,0.04,0.16,0.10455393666871055,0.016728629866993687,0.004182157466748422,0.0004182157466748422,3.345725973398738e-05
rx_ldo,300000.0,1.8,0.04,0.16,0.08050854946738818,0.012881367914782109,0.0032203419786955272,0.00032203419786955273,2.576273582956422e-05
rx_ldo,1000000.0,1.8,0.04,0.16,0.09083876552185996,0.014534202483497594,0.0036335506208743985,0.0003633550620874399,2.9068404966995193e-05
rx_ldo,3000000.0,1.8,0.04,0.16,0.16857672095704465,0.026972275353127146,0.0067430688382817865,0.0006743068838281787,5.39445507062543e-05
rx_ldo,10000000.0,1.8,0.04,0.16,0.5082667835830276,0.08132268537328441,0.020330671343321102,0.0020330671343321105,0.00016264537074656883
rx_strong_ldo,1000.0,1.8,0.04,0.16,7.234707655400188,1.1575532248640301,0.23151064497280605,0.004116906131599721,0.00032935249052797765
rx_strong_ldo,3000.0,1.8,0.04,0.16,2.412614461980506,0.38601831391688096,0.0772036627833762,0.0013728968390726618,0.00010983174712581294
rx_strong_ldo,10000.0,1.8,0.04,0.16,0.7273418736932908,0.11637469979092653,0.023274939958185307,0.0004138934649753312,3.31114771980265e-05
rx_strong_ldo,30000.0,1.8,0.04,0.16,0.25263681273922295,0.04042189003827567,0.008084378007655135,0.00014376282953984615,1.1501026363187692e-05
rx_strong_ldo,100000.0,1.8,0.04,0.16,0.10455393666871055,0.016728629866993687,0.0033457259733987374,5.949635610127408e-05,4.759708488101927e-06
rx_strong_ldo,300000.0,1.8,0.04,0.16,0.08050854946738818,0.012881367914782109,0.002576273582956422,4.581334267198608e-05,3.6650674137588866e-06
rx_strong_ldo,1000000.0,1.8,0.04,0.16,0.09083876552185996,0.014534202483497594,0.002906840496699519,5.1691746035480703e-05,4.1353396828384565e-06
rx_strong_ldo,3000000.0,1.8,0.04,0.16,0.16857672095704465,0.026972275353127146,0.005394455070625429,9.592848380473265e-05,7.674278704378613e-06
rx_strong_ldo,10000000.0,1.8,0.04,0.16,0.5082667835830276,0.08132268537328441,0.016264537074656884,0.00028922891393677033,2.3138313114941626e-05
